Code,Product,Ordered,Qty,RSP,Price,Tax,Value
23016B,Urtekram Soft Wild Rose Body Lotion 6x245ml,0/1,0/1,14.09,45.83,1.76,7.64
44156A,Urtekram ToothpasteStrong Mint Sensitive (Org 6x75ml,0/2,0/2,6.46,21.02,1.61,7.01
18639A,Veggie Wash Veggie Wash Concentrate 1x500ml,1,1,8.62,5.01,1.15,5.01
40491A,Vivani Organic ChocoCocoa (Org) 12x400g,1/0,1/0,5.41,46.41,0,46.41
44776A,Wexford Home PreseOrvrange Marmalade (Org) 6x230g,1/0,1/0,4.41,18.9,0,18.9
49881B,Zaytoun Olive Oil FT 6x250ml,1/0,1/0,12.32,52.8,0,52.8
13206B,Avalon Organics Rosemary Shampoo TEMP UNAVAILABLE 1x325ml,1,0,12.52,6.79,0,0
46184A,Avalon Organics Biotin B-Complex Shampoo (Org) TEMP 1x414ml,1,0,15.03,8.15,0,0
48145B,Bio D Dishwasher Tablets 8x30Tabs,1/0,0/0,10.46,48.61,0,0
47461A,Clearspring Coconut Blossom Syrup (Org) 6x300g,1/0,0/0,5.75,24.66,0,0
20401B,Ecoleaf Washing Up Liquid 6x1L,1/0,0/0,4.82,16.8,0,0
11574B,IND Prepack Herbs Arrowroot 3x50g,1/0,0/0,1.79,3.57,0,0
50793A,Montezumas Dark Choc Buttons 74% (Org) 8x120g,1/0,0/0,7.14,33.17,0,0
38604B,Natures Aid (*EM*) 33% Xtra Lysine 1000mg 1x(60+20),1,0,12.71,6.72,0,0
48034A,Naturli Vegan Butter Spreadable GF (Org) 16x450g,0/3,0/0,5.17,59.07,0,0
36154B,ProVen Probiotics A - Z Multivitamins Child (Chewable 1x30tabs,1,0,9.76,5.73,0,0
36155B,ProVen Probiotics Adult - 25 Billion Capsule 1x30caps,1,0,20.92,12.29,0,0
36158B,ProVen Probiotics Delisted A-Z Multivitamin & Mineral w CQ10 (C 1x30caps,2,0,9.74,5.72,0,0
49361B,Virtue Brush Bamboo Comb 1x1,1,0,3.07,1.67,0,0
