Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,SourcePDF
5007052,1,1,6,250 millilitre,"Sea-buckthorn-juice, WaddendelBicioaltoegsisscehn NL",3.06,5.39,18.36,Order_4191827.pdf
5007109,1,1,12,100 gram,"Corn waffles pure chocolate cocoBnioulto,g Bisocnhvita NL",1.64,2.99,19.68,Order_4191827.pdf
5007152,1,1,6,240 gram,"Piadina-wrap spelt and oats, TerrBaioSloagniasch NL",2.02,3.59,12.12,Order_4191827.pdf
5007165,1,1,10,4 pc,"Piadine spelt, La Bio Idea Biologisch IT",2.22,3.99,22.20,Order_4191827.pdf
5007208,1,1,10,200 gram,"Crackers chia-oats, Dr. Karg's Biologisch . DE",2.05,3.59,20.50,Order_4191827.pdf
5007307,1,1,6,750 millilitre,"Power-juice blueberry, Schulp Biologisch NL",5.76,9.99,34.56,Order_4191827.pdf
5007352,1,1,12,42 pc,"Wipes 100% flushable, Naty Non-food . GB",2.16,4.39,25.92,Order_4191827.pdf
5007388,1,1,8,800 gram,"Cat-Pate grain-free multipack, YaBriroalohgisch NL",5.58,10.95,44.64,Order_4191827.pdf
5007462,1,1,6,150 gram,"Chikko coffee-alternative decaf, CBhioilkokgois cNhot Coffee NL",3.78,6.79,22.68,Order_4191827.pdf
5008185,1,1,6,500 gram,"Himalayan-salt fine, Bergzout Natuur/wild NL",3.43,5.99,20.58,Order_4191827.pdf
5008233,2,2,6,150 gram,"Apricots soaked and dried, LilifruBitiologisch NL",3.07,5.49,36.84,Order_4191827.pdf
5008488,1,1,6,340 gram,"Orange-marmalade mild, BionovaBiologisch NL",2.16,3.89,12.96,Order_4191827.pdf
5008714,1,1,6,34 gram,"Herbal-tea curcuma chai, Yogi TeBaiologisch DE",2.07,3.99,12.42,Order_4191827.pdf
5009032,1,1,10,80 gram,"Chocolate-bar white vanilla, VivaBniiologisch DE",1.93,3.49,19.30,Order_4191827.pdf
5009052,1,1,3,15 gram,"Coriander-leaf, Cook Biologisch FR",1.83,3.29,5.49,Order_4191827.pdf
5009329,1,1,6,1 litre,"Almond-Drink, Rude Health Biologisch NL",2.24,4.09,13.44,Order_4191827.pdf
5009540,1,1,6,750 gram,"Oat-muesli, PUUR Rineke Biologisch NL",5.88,10.39,35.28,Order_4191827.pdf
5009688,1,1,6,4 pc,"Toilet-paper bamboo, 3 layer, ChNeoenk-yfo Podanda NL",2.45,4.79,14.70,Order_4191827.pdf
5009716,1,1,6,60 gram,"Krupuk, Yakso Biologisch NL",1.75,2.79,10.50,Order_4191827.pdf
5009720,1,1,6,50 gram,"Paprika-powder smoked, NaturalB Tioelomgpistcahtion NL",2.42,4.39,14.52,Order_4191827.pdf
5010832,1,1,6,20 builtjes,"Herbal-tea Moroccan mint, MinistBryio loofg iTsecha NL",2.08,3.79,12.48,Order_4191827.pdf
5011634,1,1,4,"1,25 kilogram","Ghee natural, Ghee Easy Biologisch NL",19.94,31.49,79.76,Order_4191827.pdf
5011720,1,1,6,500 millilitre,"Tamari less salt, Lima Biologisch US",5.81,9.34,34.86,Order_4191827.pdf
5011851,1,1,8,135 gram,"Cookies lemon-ginger, Rhythm 1B0 i8 ologisch CH",2.27,4.19,18.16,Order_4191827.pdf
5011870,1,1,4,20 builtjes,"Herbal-tea calmer chameleon, ClBipioploegrisch GB",2.47,4.49,9.88,Order_4191827.pdf
5013020,1,1,15,75 gram,"Tortilla-chips natural, Amaizin Biologisch BE",0.83,1.59,12.45,Order_4191827.pdf
