Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,Calculated_Total,Validation_Status,SourcePDF
1031,2,2,1,500 millilitre,"Goat-yogurt full, Vliek Biologisch NL",1.20,2.19,2.40,2.40,PASS,Order_4295657.pdf
1118,24,24,1,1 litre,"Yogurt full, Weerribben Zuivel Biologisch NL",1.52,2.55,36.48,36.48,PASS,Order_4295657.pdf
1161,4,4,1,100 gram,"Mozzarella 45+, Züger Biologisch CH",0.90,2.39,3.60,3.60,PASS,Order_4295657.pdf
1178,7,7,1,100 gram,"Mozzarella 45+ lactose free, ZügBeirologisch CH",1.07,2.89,7.49,7.49,PASS,Order_4295657.pdf
1216,4,4,1,500 millilitre,"Sheep-yogurt, Weerribben SchapBeionlozguiisvcehl NL",2.04,3.49,8.16,8.16,PASS,Order_4295657.pdf
1244,3,3,1,500 gram,"Biodynamic Full-fat Quark, ZuiveBr iZo-uDivyenal misch NL",2.09,2.99,6.27,6.27,PASS,Order_4295657.pdf
1298,4,4,1,200 gram,"Lasagna-sheets fresh, Bio-VerdeBiologisch DE",1.74,2.99,6.96,6.96,PASS,Order_4295657.pdf
1717,2,2,1,250 gram,"Ravioli 4 fromages vers, Bio-VerdBeiologisch DE",2.87,4.59,5.74,5.74,PASS,Order_4295657.pdf
1720,2,2,1,250 gram,"Ravioli ricotta and arugula fresh, BBioiolo-Vgiescrhde DE",2.87,4.59,5.74,5.74,PASS,Order_4295657.pdf
1744,4,4,1,400 gram,"Gnocchi original fresh, Bio-VerdeBiologisch DE",2.45,4.29,9.80,9.80,PASS,Order_4295657.pdf
1772,3,3,1,250 gram,"Tortelli ricotta and spinach fresh,B Bioiolo-gVisecrhde DE",2.85,4.49,8.55,8.55,PASS,Order_4295657.pdf
1850,4,4,1,400 gram,"Soy-yogurt natural unsweetened,B Sioolojagidsech FR",1.34,2.39,5.36,5.36,PASS,Order_4295657.pdf
1888,6,6,1,250 gram,"Sheep-yogurt Greek style, BergeBriieologisch FR",1.47,2.69,8.82,8.82,PASS,Order_4295657.pdf
2216,12,12,1,1 litre,"Kefir, Rauw Power Biologisch NL",2.10,3.55,25.20,25.20,PASS,Order_4295657.pdf
