Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total
1888,6,6,1,250 gram,"Sheep-yogurt Greek style, BergeBriieologisch FR",1.47,2.69,8.82
2216,12,12,1,1 litre,"Kefir, Rauw Power Biologisch NL",2.1,3.55,25.2
2805,2,2,1,150 gram,"Mozzarella mini, Züger Biologisch CH",1.58,3.19,3.16
3288,5,5,1,150 gram,"Blueberry-yogurt, Pur Natur Biologisch BE",1.06,1.75,5.3
3631,1,1,1,220 gram,"Oriental-roll China, Soto Biologisch DE",2.36,4.39,2.36
3635,20,20,1,250 gram,"Cream-Butter salted, Laitois Biologisch NL",2.94,4.69,58.8
3771,2,2,1,285 gram,"Falafal nuggets, Florentin Biologisch NL",2.92,4.85,5.84
3842,3,3,1,170 gram,"Hummus avocado, Florentin Biologisch NL",2.11,3.19,6.33
3844,1,1,1,170 gram,"Hummus sun-dried tomato, FloreBnitoinlogisch NL",2.17,3.19,2.17
4436,1,1,1,160 gram,"Cheese-alternative intense slicesB vioeloggaisnc, hFIT FOOD VBeEgan Deli",2.37,4.49,2.37
4760,7,7,1,150 gram,"Frischkäse California natural 70+B, iÖolomgaisch DE",1.25,2.89,8.75
4760,3,3,1,150 gram,"Frischkäse California natural 70+B, iÖolomgaisch DE",1.31,2.89,3.93
4819,1,1,1.15,1 kilogram,"Brie whole 50+ 1 kilo, Öma Bio-Dynamisch AT",13.88,30.9,15.96
4875,10,10,1,150 gram,"Feta Greek, Kourellas Biologisch NL",2.01,3.79,20.1
5851,2,2,1,200 gram,"Bacon-strips smoked, St. HendricBkiologisch NL",3.37,5.99,6.74
5936,2,2,1,140 gram,"Roompaté, St. Hendrick Biologisch NL",1.88,3.59,3.76
31001,1,1,2.73,2.50 kilogram,"Cheese-piece Allgäuer EmmentaBleior- D45 yn+a,m Öismcha DE",13.42,30.9,36.64
31147,4,4,1,240 gram,"Falafel sweet potato, Florentin Biologisch NL",2.91,4.75,11.64
31200,3,3,1,160 gram,"Cashew-black-bean-burger, SotoBiologisch DE",2.17,3.99,6.51
31372,3,3,1,70 gram,"Salame Milano, Fumagalli Biologisch IT",2.17,4.19,6.51
31373,2,2,1,70 gram,"Prosciutto di Parma, Fumagalli Biologisch IT",4.26,7.99,8.52
31632,16,16,1,320 gram,"Puff-pastry, Donaustrudel Biologisch DE",2.2,3.89,35.2
31676,3,3,1,500 millilitre,"Kombucha grenade boost, KarmaBio-Dynamisch FR",2.44,4.09,7.32
31897,6,6,1,200 gram,"Cottage-cheese, Züger Biologisch CH",1.02,2.19,6.12
31897,3,3,1,200 gram,"Cottage-cheese, Züger Biologisch CH",1.07,2.19,3.21
31968,6,6,1,400 gram,"Soj-yoghut Greek style natural, SBoijoalodgeisch FR",1.63,2.85,9.78
31968,2,2,1,400 gram,"Soj-yoghut Greek style natural, SBoijoalodgeisch FR",1.71,2.85,3.42
31975,2,2,1,160 gram,"Vegetable-burger with red lentils,B Sioolotogisch DE",2.16,4.09,4.32
32067,4,4,1,1 litre,"Whipped-cream fresh, Pur NaturBiologisch BE",7.21,10.39,28.84
32198,4,4,1,500 millilitre,"Kombucha mango passion fruit, KBaior-mDyanamisch FR",2.56,4.09,10.24
32199,1,1,1,1 litre,"Kombucha ginger, Karma Bio-Dynamisch FR",4.18,6.79,4.18
32201,1,1,1,500 millilitre,"Goatkefir from raw goat's milk, DBei oBloognistech Weide NL",2.33,3.99,2.33
32344,1,1,1.54,1.50 kilogram,"Gorgonzola BOB 1.5 kilos, ArrigoBnioi logisch NL",14.08,31.9,21.68
32379,4,4,1,150 gram,"Parmigiano-reggiano piece of, SBainotlo'Agnisncah NL",3.77,6.89,15.08
32445,3,3,1,100 gram,"Bruschetta tomato, Marqt Biologisch NL",1.79,3.19,5.37
32786,1,1,1.68,1.50 kilogram,"Crémeux-de-Bourgogne, FromagBeiroileo gJisacchques Delin NL",22.33,48.9,37.51
32939,4,4,1,200 gram,"Halloumi, Ducas Biologisch NL",4.3,7.59,17.2
33618,3,3,1,400 gram,"Soy-yogurt blueberry cherry, SojaBdioelogisch FR",2.16,3.59,6.48
33808,6,6,1,750 millilitre,"Coconut-water RAW, Rebel KitchBeionlogisch GB",4.73,7.69,28.38
42035,2,2,1,275 gram,"Dairy-alternative coconut mango Bviaonloigllias,c hHarvest MooDnE",2.12,3.49,4.24
45000,6,6,1,250 gram,"Sheep-yogurt Greek style vanilla,B Bioelorggisecrhie FR",1.74,3.09,10.44
45000,4,4,1,250 gram,"Sheep-yogurt Greek style vanilla,B Bioelorggisecrhie FR",1.83,3.09,7.32
45006,6,6,0.212,200 gram,"Chicken-breast without skin, KemBpioelorgisch NL",25.71,43.5,32.7
45087,4,4,1,200 gram,"Tortellini basil pesto fresh, Bio-VeBriodleogisch DE",2.04,3.59,8.16
45088,3,3,1,200 gram,"Tortellini cheese-tomatoes fresh,B Bioiolo-gVisecrhde DE",2.04,3.59,6.12
45151,3,3,1,125 gram,"Olives kalamata, Marqt Biologisch NL",1.67,3.19,5.01
45153,4,4,1,125 gram,"Olive-mix garlic, Marqt Biologisch NL",1.7,3.19,6.8
45154,4,4,1,125 gram,"Olives green with garlic, Marqt Biologisch IT",1.75,3.19,7
45454,1,1,1,200 gram,"Rollini spinach-cheese, Soto Biologisch DE",2.18,3.89,2.18
45471,6,6,1,125 gram,"Mozzarella di bufala, Diano CaseBairoialogisch NL",1.9,3.49,11.4
45527,2,2,1,400 gram,"Soy-yogurt mango, Sojade Biologisch FR",2.15,3.59,4.3
45751,1,1,1,1 litre,"Buttermilk, Ommelanden Bio-Dynamisch NL 315",1.5,2.59,1.5
45779,4,4,1,350 millilitre,"Dairy-Alternative coco Greek stylBei,o nloagtiuscrhal, Abbot KinNnLey's",2.51,4.19,10.04
45780,2,2,1,350 millilitre,"Dairy-Alternative coco start, natuBraiol,l oAgbisbchot Kinney's NL",2.45,4.39,4.9
45820,2,2,1,350 gram,"Dairy-Alternative coco start mangBoio, lAogbisbcoht Kinney's NL",2.52,4.19,5.04
46591,8,8,1,100 gram,"Shoulder-ham, St. Hendrick Biologisch NL",2.19,3.79,17.52
46592,17,17,1,100 gram,"Breakfast-bacon, St. Hendrick Biologisch NL",2.29,3.59,38.93
46602,2,2,1,100 gram,"Pastrami, St. Hendrick Biologisch NL",2.97,4.99,5.94
48634,3,3,1,150 gram,"Feta, Minos Biologisch GR",1.92,2.87,5.76
48673,3,3,1,200 gram,"Salmon smoked, Zalmhuis SteurBiologisch NL",8.2,14.25,24.6
48675,2,2,1,150 gram,"Salmon Norwegian smoked deluxNea,t uZuar/lwmilhduis Steur NL",7.52,12.99,15.04
48708,8,8,1,200 gram,"Cheddar mature, Lye Cross FarmBiologisch NL",3.22,5.59,25.76
48709,10,10,1,200 gram,"Cheddar red Leichester, Lye CrosBsio lFoagirsmch NL",3.12,5.49,31.2
48775,8,8,1,240 gram,"Kimchi mild, Completeorganics Biologisch DE",2.89,4.99,23.12
48816,6,6,1,500 gram,"Kefir mild 1.5%, Andechser Biologisch DE",1.15,2.19,6.9
48876,11,11,1,2 pc,"Bratwurst garlic & parsley, BrandBt i&ol oLgeisvcieh NL",3.37,6.39,37.07
48920,8,8,1,60 millilitre,"Shot ginger, Frankly Biologisch DK",0.99,1.89,7.92
97250,2,2,1,175 gram,"Hummus, Marqt Biologisch BE",1.68,3.19,3.36
97251,2,2,1,175 gram,"Hummus spicy, Marqt Biologisch BE",1.86,3.19,3.72
97253,3,3,1,175 gram,"Hummus green pesto, Marqt Biologisch BE",1.84,3.19,5.52
97254,6,6,1,175 gram,"Hummus sun-dried tomato, MarqBtiologisch BE",1.79,3.19,10.74
97287,2,2,1,175 gram,"Muhammara, Marqt Biologisch BE",1.97,3.19,3.94
97289,6,6,1,500 gram,"Yogurt blueberries, Laitois Bio-Dynamisch DE 313",1.58,2.79,9.48
97291,2,2,1,500 gram,"Yogurt stracciatella, Laitois Bio-Dynamisch DE 313",1.67,2.79,3.34
97294,2,2,1,500 gram,"Yogurt mango, Laitois Bio-Dynamisch DE 313",1.64,2.79,3.28
97377,4,4,1,120 gram,"Pesto spinach with aged cheese,B Miolaorgqistch NL",1.66,3.19,6.64
6000261,6,6,1,170 gram,"Hummus, Florentin Biologisch NL",1.76,2.71,10.56
6000295,2,2,1,750 millilitre,"Kombucha citrus sugar free, KarmBiao-Dynamisch FR",3.57,5.79,7.14
6000465,1,1,1,150 gram,"Artichoke-hearts, Bio-Verde Biologisch DE",3.16,5.59,3.16
6000715,2,2,1,350 gram,"Legume-mix chickpea curry, CooBl iBoleoaginssc hFoods BE",3.31,5.9,6.62
